iter	Passed	Remaining
0	78	61940
1	140	55656
2	224	59272
3	311	61515
4	399	63077
5	476	62641
6	581	65384
7	676	66511
8	759	66246
9	849	66571
10	918	65401
11	989	64511
12	1089	65454
13	1209	67390
14	1280	66504
15	1341	65231
16	1411	64513
17	1471	63447
18	1565	63874
19	1653	63992
20	1803	66401
21	1894	66491
22	1966	65927
23	2042	65530
24	2132	65610
25	2209	65276
26	2281	64816
27	2345	64168
28	2432	64163
29	2523	64272
30	2624	64606
31	2723	64849
32	2806	64715
33	2923	65351
34	3021	65528
35	3105	65384
36	3183	65134
37	3264	64940
38	3357	64995
39	3443	64913
40	3537	64963
41	3662	65577
42	3855	67334
43	3947	67279
44	4054	67492
45	4142	67362
46	4240	67396
47	4327	67259
48	4403	66943
49	4519	67249
50	4657	67856
51	4788	68326
52	4883	68275
53	4975	68180
54	5077	68218
55	5163	68044
56	5231	67636
57	5316	67464
58	5399	67268
59	5478	67025
60	5568	66914
61	5661	66842
62	5767	66921
63	5853	66762
64	5941	66631
65	6042	66654
66	6133	66550
67	6219	66399
68	6317	66376
69	6394	66141
70	6472	65908
71	6571	65893
72	6652	65706
73	6777	65940
74	6863	65795
75	6975	65899
76	7100	66119
77	7217	66257
78	7293	66013
79	7387	65931
80	7467	65734
81	7593	65936
82	7722	66156
83	7817	66078
84	7885	65770
85	7997	65837
86	8100	65825
87	8199	65781
88	8299	65745
89	8388	65616
90	8478	65500
91	8599	65620
92	8723	65754
93	8787	65435
94	8892	65432
95	8985	65328
96	9092	65332
97	9185	65233
98	9267	65059
99	9338	64809
100	9441	64779
101	9536	64700
102	9666	64851
103	9776	64863
104	9861	64711
105	9917	64370
106	10014	64298
107	10090	64092
108	10172	63930
109	10377	64531
110	10461	64369
111	10561	64313
112	10687	64407
113	10776	64281
114	10857	64104
115	10963	64077
116	11070	64057
117	11172	64003
118	11260	63873
119	11369	63858
120	11449	63680
121	11525	63483
122	11665	63638
123	11739	63431
124	11837	63354
125	11932	63261
126	12035	63211
127	12114	63032
128	12214	62964
129	12300	62827
130	12387	62694
131	12493	62655
132	12587	62557
133	12671	62410
134	12761	62294
