iter	RMSE
0	0.2422329774
1	0.2362681717
2	0.2308140243
3	0.2260461561
4	0.2216159329
5	0.2175673046
6	0.2137122667
7	0.2104367015
8	0.207278845
9	0.2044932317
10	0.2016653458
11	0.1995693507
12	0.1975383938
13	0.1955158604
14	0.1935489661
15	0.1915489584
16	0.1899650057
17	0.1881895138
18	0.1870140887
19	0.1856170538
20	0.1846954466
21	0.1836460935
22	0.1825486663
23	0.181648212
24	0.1805522507
25	0.1795260098
26	0.178813623
27	0.1778263414
28	0.1770612719
29	0.1762514768
30	0.1755845075
31	0.1750174951
32	0.1741436663
33	0.1734816494
34	0.1729309595
35	0.1725915875
36	0.1721953539
37	0.1717126028
38	0.1711959389
39	0.1707978994
40	0.1703854601
41	0.1698172872
42	0.1693245273
43	0.1689675325
44	0.1684583271
45	0.1681133934
46	0.1675875675
47	0.1670736473
48	0.1668066974
49	0.1664614465
50	0.1661211898
51	0.1656346101
52	0.1652893971
53	0.1648475194
54	0.1644591066
55	0.16410075
56	0.1637637335
57	0.1634424071
58	0.163136066
59	0.1626755647
60	0.1624598471
61	0.1622509597
62	0.1619207254
63	0.1616310013
64	0.1612361418
65	0.1608635779
66	0.1604518522
67	0.1602591609
68	0.1598881699
69	0.1596408599
70	0.1592843147
71	0.1589851587
72	0.1586217277
73	0.1582864198
74	0.157955728
75	0.1576524326
76	0.1572163665
77	0.1568665886
78	0.1564755122
79	0.1560936586
80	0.1559512834
81	0.1557069321
82	0.1553141402
83	0.1550663351
84	0.1548534091
85	0.1545706975
86	0.1543105168
87	0.1540364488
88	0.1536690367
89	0.1532778438
90	0.1531001794
91	0.1529210632
92	0.1526544189
93	0.1523551323
94	0.1518864161
95	0.151725147
96	0.1513810109
97	0.1510194248
98	0.1508364544
99	0.1505451003
100	0.1503464489
101	0.1500670453
102	0.1498676807
103	0.1494977119
104	0.1492233011
105	0.1489234794
106	0.1486347731
107	0.1483752688
108	0.1480372215
109	0.1477401623
110	0.1475131736
111	0.1473538521
112	0.1471308222
113	0.1469237889
114	0.1466473228
115	0.1464374596
116	0.1462800955
117	0.1459799023
118	0.1456644703
119	0.1453868412
120	0.1451529638
121	0.1449076499
122	0.1446498408
123	0.1444852973
124	0.1442623387
125	0.1441098498
126	0.143872457
127	0.1435915326
128	0.1433558183
129	0.1429661746
130	0.1426983495
131	0.1424888302
132	0.1423154775
133	0.1420170413
134	0.1417452626
135	0.1416453896
136	0.141343652
137	0.1410514053
138	0.1408167945
139	0.1405963032
140	0.1403086666
141	0.14006701
142	0.13981914
143	0.1395836028
144	0.1393331614
145	0.1392044794
146	0.1390511307
147	0.1389052638
148	0.1387219365
149	0.1384743714
150	0.1382532453
151	0.1380374081
152	0.1377778633
153	0.1375124607
154	0.1373646744
155	0.1371924785
156	0.1370054999
157	0.136892512
158	0.1366736424
159	0.1365448782
160	0.1363014619
161	0.1359806568
162	0.1358897408
163	0.1356507268
164	0.1354905667
165	0.1353060119
166	0.1350334224
167	0.1348630196
168	0.1347224423
169	0.1345595464
170	0.134398864
171	0.1341949073
172	0.1340688429
173	0.1338534581
174	0.1335574899
175	0.1333942482
176	0.1332086054
177	0.1330729437
178	0.1328295622
179	0.1326182527
180	0.1324127385
181	0.1322006304
182	0.1319676026
183	0.1318237039
184	0.1316529705
185	0.1313102433
186	0.1311304144
187	0.13095803
188	0.1308303851
189	0.1305855404
190	0.1304141289
191	0.1301445563
192	0.1300001283
193	0.1298649942
194	0.1295432237
195	0.1293690305
196	0.1291548864
197	0.1289846996
198	0.1287198841
199	0.128516314
200	0.1283041921
201	0.1282084472
202	0.128062077
203	0.1278931834
204	0.1276341218
205	0.1273473889
206	0.1272503609
207	0.1270865685
208	0.1269719914
209	0.1268551859
210	0.1266367054
211	0.1265278774
212	0.1264229351
213	0.1261979694
214	0.1260286051
215	0.1258832078
216	0.1257231538
217	0.125587762
218	0.1254580574
219	0.1252967179
220	0.1251423725
221	0.1249483114
222	0.1248247753
223	0.1246380366
224	0.1244743755
225	0.1242276812
226	0.1240424333
227	0.1239449406
228	0.1237959954
229	0.1236983478
230	0.1235526467
231	0.1234291842
232	0.1232629905
233	0.123025705
234	0.1228008407
235	0.1225109197
236	0.1224195093
237	0.1221560837
238	0.1220342684
239	0.1218038738
240	0.1216170758
241	0.1215233286
242	0.1214184108
243	0.1212604437
244	0.1210939679
245	0.1209093462
246	0.1207632986
247	0.1206103851
248	0.1204030125
249	0.1202378503
250	0.1200879286
251	0.1199715473
252	0.1197490409
253	0.1195391893
254	0.1192739503
255	0.1190355882
256	0.118838718
257	0.1187111996
258	0.1185404822
259	0.1184032007
260	0.1181719383
261	0.1179615336
262	0.117806036
263	0.1176880831
264	0.1175089652
265	0.1173528782
266	0.1171877545
267	0.1170753661
268	0.1168451824
269	0.1166887615
270	0.116584346
271	0.1163662027
272	0.1161935462
273	0.1159842639
274	0.1158262556
275	0.1156282481
276	0.1154936858
277	0.1153858261
278	0.1152712725
279	0.1151254911
280	0.1149323987
281	0.1147911738
282	0.1145220692
283	0.1143125855
284	0.114201098
285	0.1140252335
286	0.1138600782
287	0.1137133186
288	0.1135812042
289	0.1133644452
290	0.1132171898
291	0.1131607286
292	0.113082708
293	0.1128810125
294	0.1127171135
295	0.1125815874
296	0.1124162302
297	0.1122541845
298	0.1121278143
299	0.1119595115
300	0.1118035216
301	0.1115506888
302	0.1114737178
303	0.1113193257
304	0.1112058551
305	0.1110183007
306	0.1108321268
307	0.1106929491
308	0.1106358632
309	0.1105027
310	0.110458882
311	0.1102859848
312	0.1101575403
313	0.1099862001
314	0.1098257768
315	0.1096712558
316	0.1095322958
317	0.1093911948
318	0.1092095173
319	0.1090265259
320	0.1089023503
321	0.1087363345
322	0.1086253751
323	0.1084943276
324	0.1083950729
325	0.1082969392
326	0.1081502636
327	0.1080227817
328	0.1078581393
329	0.1076955445
330	0.107635168
331	0.1074938851
332	0.1073540563
333	0.1071249341
334	0.1069606636
335	0.1068192793
336	0.1066793757
337	0.1065621252
338	0.1064282537
339	0.1063439892
340	0.1061652684
341	0.106065064
342	0.1059323983
343	0.1057990799
344	0.1056935274
345	0.1054888099
346	0.1054216405
347	0.1052582507
348	0.1051440645
349	0.1049229346
350	0.1048327094
351	0.1047336994
352	0.1045596109
353	0.1043930496
354	0.1043125223
355	0.1041415351
356	0.1040442547
357	0.1039389224
358	0.1038418372
359	0.1037127068
360	0.1035703917
361	0.1035146196
362	0.103398346
363	0.1032700903
364	0.1030528966
365	0.1030258697
366	0.102880338
367	0.1027401341
368	0.1025523975
369	0.102341212
370	0.1021736997
371	0.1019958088
372	0.101820258
373	0.101633274
374	0.1014978995
375	0.1014465709
376	0.1013256959
377	0.1012676217
378	0.1011632344
379	0.1009308569
380	0.1008615083
381	0.1007246158
382	0.1006007784
383	0.1004180908
384	0.1002455404
385	0.1001544226
386	0.1001133389
387	0.09998948051
388	0.09984473947
389	0.09969576706
390	0.09954876157
391	0.09937861397
392	0.09920863037
393	0.09911130961
394	0.09900272009
395	0.09885608104
396	0.09873288099
397	0.09864928249
398	0.09856753697
399	0.09838637716
400	0.098263692
401	0.09815742122
402	0.09795006192
403	0.09781380235
404	0.09769133979
405	0.09753856914
406	0.09738611094
407	0.0973116235
408	0.09715517211
409	0.09701496956
410	0.09691786237
411	0.09680047734
412	0.09669771395
413	0.09659670403
414	0.09647983848
415	0.09639243571
416	0.09634753289
417	0.09616902542
418	0.09607472426
419	0.09601102631
420	0.0958900429
421	0.09579817982
422	0.09568343283
423	0.09552820127
424	0.0953811126
425	0.09524065198
426	0.09509797636
427	0.09502515871
428	0.0948921018
429	0.0947427369
430	0.09462036087
431	0.09450013827
432	0.09434543001
433	0.09421812942
434	0.09412333639
435	0.09400840019
436	0.09385039878
437	0.09378401845
438	0.0936399087
439	0.09354597397
440	0.09344183765
441	0.09329567818
442	0.09312306531
443	0.09302312778
444	0.0928324861
445	0.09265254445
446	0.0925600167
447	0.09246140847
448	0.09231394736
449	0.09226621792
450	0.09220222632
451	0.09207812262
452	0.09198296031
453	0.0919348231
454	0.09186050733
455	0.09177804733
456	0.09166153821
457	0.09153377994
458	0.09147101943
459	0.09134494294
460	0.09126956059
461	0.09114995875
462	0.09102037356
463	0.09088998102
464	0.09076886215
465	0.09067875387
466	0.09056808009
467	0.09048426048
468	0.09041289155
469	0.09031911143
470	0.09024648254
471	0.0900978527
472	0.08999839271
473	0.08986278736
474	0.08975666285
475	0.08968737338
476	0.0896246801
477	0.08952269573
478	0.08940641226
479	0.08925117654
480	0.0892041689
481	0.08907202768
482	0.08896073009
483	0.08876562003
484	0.08862519605
485	0.08849263069
486	0.08836518163
487	0.08830754248
488	0.08824418859
489	0.08812796286
490	0.08804645958
491	0.08793629294
492	0.08785505037
493	0.08778399309
494	0.08765305518
495	0.08756957463
496	0.08743774116
497	0.08735159987
498	0.08728921857
499	0.08724002323
