iter	Passed	Remaining
0	238	150323
1	437	137344
2	629	131467
3	824	129088
4	1061	132654
5	1321	137408
6	1525	135757
7	1768	137521
8	1961	135357
9	2162	134069
10	2349	132196
11	2549	131316
12	2784	132140
13	2955	130046
14	3103	127252
15	3325	127627
16	3543	127784
17	3834	130388
18	3998	128597
19	4281	130587
20	4545	131829
21	4866	134485
22	5073	133897
23	5271	133095
24	5520	133590
25	5751	133614
26	5972	133379
27	6172	132701
28	6362	131862
29	6526	130538
30	6721	129878
31	6963	130128
32	7188	130044
33	7412	129940
34	7699	130886
35	8048	132798
36	8317	133306
37	8549	133198
38	8735	132382
39	8945	131952
40	9129	131148
41	9288	130032
42	9493	129599
43	9740	129729
44	9957	129453
45	10135	128681
46	10437	129474
47	10722	130010
48	10995	130369
49	11231	130290
50	11543	131052
51	11770	130832
52	12058	131278
53	12269	130876
54	12525	130945
55	12871	131932
56	13126	131953
57	13349	131652
58	13702	132610
59	13918	132226
60	14132	131830
61	14367	131624
62	14608	131479
63	14850	131331
64	15194	132078
65	15453	132054
66	15791	132698
67	16118	133212
68	16472	133928
69	16694	133552
70	16964	133563
71	17260	133772
72	17561	133996
73	17757	133418
74	17960	132907
75	18237	132940
76	18492	132807
77	18741	132632
78	19054	132898
79	19248	132334
80	19558	132562
81	19828	132509
82	20096	132440
83	20390	132539
84	20607	132130
85	20823	131721
86	21131	131891
87	21433	132012
88	21654	131629
89	21910	131465
90	22260	131849
91	22607	132205
92	22899	132225
93	23147	131992
94	23316	131311
95	23655	131585
96	23939	131542
97	24248	131632
98	24473	131265
99	24754	131200
100	24975	130811
101	25241	130661
102	25574	130849
103	25906	131028
104	26237	131185
105	26553	131263
106	26862	131300
107	27136	131161
108	27454	131227
109	27713	131009
110	28008	130959
111	28235	130587
112	28448	130160
113	28658	129718
114	29053	130107
115	29291	129793
116	29581	129703
117	29880	129650
118	30252	129908
119	30561	129885
120	30798	129558
121	31165	129770
122	31412	129480
123	31725	129461
124	32011	129327
125	32354	129419
126	32722	129602
127	33021	129505
128	33284	129265
129	33553	129053
130	33847	128931
131	34082	128584
132	34452	128744
133	34693	128416
134	34963	128199
135	35264	128091
136	35544	127907
137	35880	127920
138	36160	127732
139	36461	127613
140	36810	127662
141	37124	127584
142	37389	127332
143	37743	127385
144	38055	127287
145	38250	126801
146	38537	126624
147	38825	126446
148	39132	126326
149	39487	126360
150	39883	126517
151	40281	126673
152	40615	126625
153	40945	126558
154	41388	126834
155	41744	126840
156	42103	126847
157	42464	126855
158	42832	126882
159	43209	126927
160	43499	126716
161	43897	126815
162	44242	126755
163	44554	126599
164	44804	126266
165	45086	126024
166	45462	126043
167	45774	125881
168	46105	125766
169	46413	125589
170	46733	125443
171	47081	125369
172	47382	125165
173	47714	125045
174	48015	124840
175	48259	124488
176	48549	124254
177	48845	124034
178	49193	123944
179	49363	123408
180	49695	123278
181	50003	123085
182	50413	123140
183	50684	122854
184	50856	122330
185	51219	122265
186	51481	121958
187	51696	121542
188	51993	121318
189	52387	121317
190	52660	121037
191	52994	120894
192	53343	120783
193	53508	120255
194	53837	120099
195	54147	119896
196	54464	119711
197	54789	119539
198	55114	119369
199	55401	119113
200	55649	118774
201	55969	118589
202	56217	118251
203	56431	117843
204	56782	117719
205	57022	117366
206	57325	117142
207	57642	116948
208	57915	116661
209	58203	116406
210	58559	116285
211	58917	116167
212	59208	115914
213	59456	115578
214	59744	115320
215	59985	114971
216	60304	114773
217	60542	114419
218	60814	114131
219	61103	113875
220	61536	113884
221	61862	113693
222	62095	113331
223	62304	112926
224	62614	112705
225	62915	112467
226	63203	112206
227	63544	112038
228	63858	111821
229	64014	111329
230	64299	111063
231	64558	110752
232	64894	110570
233	65179	110304
234	65444	110002
235	65645	109594
236	65978	109407
237	66382	109336
238	66576	108918
239	66836	108608
240	67065	108251
241	67345	107975
242	67617	107687
243	67823	107295
244	68175	107132
245	68626	107123
246	69077	107112
247	69417	106925
