,satisfaction,review,projects,avg_hrs_month,tenure,promoted,department,salary
0,0.38,0.53,2,157.0,3.0,0,sales,low
1,0.8,0.86,5,262.0,6.0,0,sales,medium
2,0.11,0.88,7,272.0,4.0,0,sales,medium
3,0.72,0.87,5,223.0,5.0,0,sales,low
4,0.37,0.52,2,159.0,3.0,0,sales,low
5,0.41,0.5,2,153.0,3.0,0,sales,low
6,0.1,0.77,6,247.0,4.0,0,sales,low
7,0.92,0.85,5,259.0,5.0,0,sales,low
8,0.89,1.0,5,224.0,5.0,0,sales,low
9,0.42,0.53,2,142.0,3.0,0,sales,low
10,0.45,0.54,2,135.0,3.0,0,sales,low
11,0.11,0.81,6,305.0,4.0,0,sales,low
12,0.84,0.92,4,234.0,5.0,0,sales,low
13,0.41,0.55,2,148.0,3.0,0,sales,low
14,0.36,0.56,2,137.0,3.0,0,sales,low
15,0.38,0.54,2,143.0,3.0,0,sales,low
16,0.45,0.47,2,160.0,3.0,0,sales,low
17,0.78,0.99,4,255.0,6.0,0,sales,low
18,0.45,0.51,2,160.0,3.0,1,sales,low
19,0.76,0.89,5,262.0,5.0,0,sales,low
20,0.11,0.83,6,282.0,4.0,0,sales,low
21,0.38,0.55,2,147.0,3.0,0,sales,low
22,0.09,0.95,6,304.0,4.0,0,sales,low
23,0.46,0.57,2,139.0,3.0,0,sales,low
24,0.4,0.53,2,158.0,3.0,0,sales,low
25,0.89,0.92,5,242.0,5.0,0,sales,low
26,0.82,0.87,4,239.0,5.0,0,sales,low
27,0.4,0.49,2,135.0,3.0,0,sales,low
28,0.41,0.46,2,128.0,3.0,0,accounting,low
29,0.38,0.5,2,132.0,3.0,0,accounting,low
30,0.09,0.62,6,294.0,4.0,0,accounting,low
31,0.45,0.57,2,134.0,3.0,0,hr,low
32,0.4,0.51,2,145.0,3.0,0,hr,low
33,0.45,0.55,2,140.0,3.0,0,hr,low
34,0.84,0.87,4,246.0,6.0,0,hr,low
35,0.1,0.94,6,255.0,4.0,0,technical,low
36,0.38,0.46,2,137.0,3.0,0,technical,low
37,0.45,0.5,2,126.0,3.0,0,technical,low
38,0.11,0.89,6,306.0,4.0,0,technical,low
39,0.41,0.54,2,152.0,3.0,0,technical,low
40,0.87,0.88,5,269.0,5.0,0,technical,low
41,0.45,0.48,2,158.0,3.0,0,technical,low
42,0.4,0.46,2,127.0,3.0,0,technical,low
43,0.1,0.8,7,281.0,4.0,0,technical,low
44,0.09,0.89,6,276.0,4.0,0,technical,low
45,0.84,0.74,3,182.0,4.0,0,technical,low
46,0.4,0.55,2,147.0,3.0,0,support,low
47,0.57,0.7,3,273.0,6.0,0,support,low
48,0.4,0.54,2,148.0,3.0,0,support,low
49,0.43,0.47,2,147.0,3.0,0,support,low
50,0.13,0.78,6,152.0,2.0,0,support,low
51,0.44,0.55,2,135.0,3.0,0,support,low
52,0.38,0.55,2,134.0,3.0,0,support,low
53,0.39,0.54,2,132.0,3.0,0,support,low
54,0.1,0.92,7,307.0,4.0,0,support,low
55,0.37,0.46,2,140.0,3.0,0,support,low
56,0.11,0.94,7,255.0,4.0,0,support,low
57,0.1,0.81,6,309.0,4.0,0,technical,low
58,0.38,0.54,2,128.0,3.0,0,technical,low
59,0.85,1.0,4,225.0,5.0,0,technical,low
60,0.85,0.91,5,226.0,5.0,0,management,medium
61,0.11,0.93,7,308.0,4.0,0,IT,medium
62,0.1,0.95,6,244.0,5.0,0,IT,medium
63,0.36,0.56,2,132.0,3.0,0,IT,medium
